"title","station","description","issues","medium","character","url","imageURL","bcastId","documentId"
"Familie Braun","ZDF","Webserie in acht Folgen, die frech und mit viel Humor mit dem Thema Rechtsradikalismus umgeht","11","tv","F","https://www.zdf.de//serien/familie-braun","https://www.zdf.de/assets/sendungsteaser-familie-braun-100~1920x1080?cb=1477655803098"
"Fernsehfilm der Woche","ZDF","Der Fernsehfilm der Woche im ZDF mit hochkarätigen Einzelfilmen verschiedener Genres","883","tv","F","https://www.zdf.de//filme/der-fernsehfilm-der-woche","https://www.zdf.de/assets/fernsehfilm-der-woche-sendungsteaser-100~1920x1080?cb=1477639570786"
"ZDF-Fernsehgarten","ZDF","Der Fernsehgarten geht wieder ""on tour"":  Andrea Kiewel präsentiert die Adventsausgaben live aus Garmisch-Partenkirchen.","15","tv","F","https://www.zdf.de//show/zdf-fernsehgarten","https://www.zdf.de/assets/fernsehgarten-ontour-sendungsteaser-100~1920x1080?cb=1478690387624"
"Forum am Freitag","ZDFinfo","Die spezielle Sicht der Muslime auf das Zusammenleben in Deutschland.","573","tv","F","https://www.zdf.de//kultur/forum-am-freitag","https://www.zdf.de/assets/faf-sendungsteaser-100~1920x1080?cb=1477639469228"
"Frag den Lesch","ZDF","In ""Frag den Lesch"" beantwortet der Physiker Harald Lesch die großen und kleinen Fragen der Physik - von den kleinesten Teilchen und Atomen bis zu den großen Zusammenhängen im Universum.","225","tv","F","https://www.zdf.de//wissen/frag-den-lesch","https://www.zdf.de/assets/frag-den-lesch-sendungsteaser-100~1920x1080?cb=1479386622362"
"Friesland","ZDF","ZDF-Samstagskrimi-Reihe mit Florian Lukas und Sophie Dal in den Hauptrollen","2","tv","F","https://www.zdf.de//filme/friesland","https://www.zdf.de/assets/friesland-sendungsteaser-100~1920x1080?cb=1477639726528"
"Frontal 21","ZDF","Das investigative ZDF-Politmagazin bietet Reportagen, Analysen und Hintergründe zu den aktuellen Themen aus Politik, Wirtschaft und Gesellschaft.","456","tv","F","https://www.zdf.de//politik/frontal-21","https://www.zdf.de/assets/frontal21-sendungsteaser-100~1920x1080?cb=1476881612954"
"funk","","Alles über das junge Angebot von ARD und ZDF.","2","tv","F","https://www.zdf.de//sender/funk","https://www.zdf.de/assets/sendungsteaser-funk-100~1920x1080?cb=1477581458315"
"Gätjens großes Kino","ZDF","Kino, Filmstarts, Stars, Interviews, Steven Gätjen","12","tv","G","https://www.zdf.de//show/gaetjens-grosses-kino","https://www.zdf.de/assets/gaetjens-grosses-kino-sendungsteaser-100~1920x1080?cb=1477640054045"
"Generation What?","","Generation What?","11","tv","G","https://www.zdf.de//gesellschaft/generation-what","https://www.zdf.de/assets/generation-what-sendungsteaser-100~1920x1080?cb=1477640433225"
"God's Cloud","","Glaube und Religion erklärt","330","tv","G","https://www.zdf.de//kultur/gods-cloud","https://www.zdf.de/assets/gods-cloud-sendungsteaser-100~1920x1080?cb=1477640565382"
"Gottesdienste","ZDF","Das ZDF überträgt Gottesdienste aus evangelischen und katholischen Kirchen.","357","tv","G","https://www.zdf.de//gesellschaft/gottesdienste","https://www.zdf.de/assets/gottesdienst-sendungsteaser-100~1920x1080?cb=1477640491405"
"Gotthard","ZDF","Der Adventszweiteiler im ZDF über den Bau des Gotthardtunnels im 19. Jahrhundert","30","tv","G","https://www.zdf.de//filme/gotthard","https://www.zdf.de/assets/sendungsteaser-gotthard-100~1920x1080?cb=1479213378733"
"hallo deutschland","ZDF","Bewegende Geschichten, emotionale Augenblicke, Alltagstests und harte Fakten: Immer montags bis freitags um 17.10 Uhr und samstags um 18.35 Uhr","1252","tv","H","https://www.zdf.de//nachrichten/hallo-deutschland","https://www.zdf.de/assets/sendungsteaser-hallo-deutschland-100~1920x1080?cb=1477640676520"
"Der Haustier-Check","","Tierexpertin Kate Kitchenham begleitet in ""Der Haustier-Check"" Menschen aus ganz Deutschland auf ihrem Weg zum neuen tierischen Mitbewohner.","26","tv","H","https://www.zdf.de//dokumentation/der-haustier-check","https://www.zdf.de/assets/sendungsteaser-der-haustier-check-100~1920x1080?cb=1477639372375"
"Heldt","ZDF","Heldt: ZDF-Krimikomödie mit Kai Schumann, Janine Kunze und Timo Dierkes - 18 neue Folgen","40","tv","H","https://www.zdf.de//serien/heldt","https://www.zdf.de/assets/sendungsteaser-heldt-100~1920x1080?cb=1477918630112"
"Helen Dorn","ZDF","ZDF-Samstagskrimi-Reihe mit Anna Loos in der Hauptrolle","8","tv","H","https://www.zdf.de//filme/helen-dorn","https://www.zdf.de/assets/helen-dorn-sendungsteaser-100~1920x1080?cb=1479304875471"
"Helene Fischer","","Helene Fischer, Show, Musik, Konzert","5","tv","H","https://www.zdf.de//show/helene-fischer","https://www.zdf.de/assets/helene-fischer-sendungsteaser-100~1920x1080?cb=1481799723496"
"Herzensbrecher - Vater von vier Söhnen","ZDF","Herzensbrecher: Pfarrer Tabarius und seine Mannen melden sich zurück! In der 4. Staffel bekommen die Herzensbrecher unverhofft Zuwachs - weiblichen!","44","tv","H","https://www.zdf.de//serien/herzensbrecher","https://www.zdf.de/assets/sendungsteaser-herzensbrecher-100~1920x1080?cb=1479385034039"
"Herzkino","ZDF","Wir erzählen vom Leben! Ob als Komödie, als Melodram oder als Liebesfilm.","117","tv","H","https://www.zdf.de//filme/herzkino","https://www.zdf.de/assets/herzkino-sendungsteaser-100~1920x1080?cb=1477640667845"
"heute 19 Uhr","ZDF","Aktuelle Informationen und Hintergründe zum Tagesgeschehen - täglich um 19 Uhr im ZDF.","1927","tv","H","https://www.zdf.de//nachrichten/heute","https://www.zdf.de/assets/sendungsteaser-heute-100~1920x1080?cb=1478877375663"
"heute - in Deutschland","ZDF","heute in Deutschland","1083","tv","H","https://www.zdf.de//nachrichten/heute-in-deutschland","https://www.zdf.de/assets/sendungsteaser-heute-in-deutschland-100~1920x1080?cb=1477641036880"
"heute - in Europa","ZDF","heute - in Europa","394","tv","H","https://www.zdf.de//nachrichten/heute-in-europa","https://www.zdf.de/assets/sendungsteaser-heute-in-europa-100~1920x1080?cb=1477641276037"
"heute journal","ZDF","Das heute-journal: politische Berichte, scharfsinnige Analysen und verständliche Erklärungen.","874","tv","H","https://www.zdf.de//nachrichten/heute-journal","https://www.zdf.de/assets/sendungsteaser-heute-journal-100~1920x1080?cb=1478877327833"
"heute plus","ZDF","heute plus","1426","tv","H","https://www.zdf.de//nachrichten/heute-plus","https://www.zdf.de/assets/sendungsteaser-heute-plus-100~1920x1080?cb=1477643828415"
"heute-show","ZDF","Hier finden Sie alle Videos der heute-show","160","tv","H","https://www.zdf.de//comedy/heute-show","https://www.zdf.de/assets/sendungsteaser-heute-show-100~1920x1080?cb=1477639669923"
"ZDF-History","ZDF","Zeitgeschichte hautnah erleben: Von Politik und Kutur bis hin zur Gesellschaftsgeschichte","339","tv","H","https://www.zdf.de//dokumentation/zdf-history","https://www.zdf.de/assets/sendungsteaser-history-100~1920x1080?cb=1477639041334"
